Analysis Info,Distance Threshold: 0.1,Angle Threshold: 20.0
GT File,analysis\groundTruth\pylon1_gt.ply
Extracted Edges File,analysis\data\pylon1\preservedEdges.ply

GT Edge Index,Edges Within Distance Threshold,Edges Within Angle Threshold,Avg Distance,Std Distance,Avg Angle,Std Angle
460,9,9,0.078125,0.019182,12.172563,2.774448
461,13,13,0.063729,0.027436,9.125031,4.594383
462,41,41,0.055679,0.021905,9.394278,4.485187
463,12,12,0.078606,0.012903,11.058851,5.010113
464,5,5,0.068530,0.018163,14.571853,4.221773
465,2,2,0.056188,0.004542,15.949399,2.998276
466,6,6,0.078328,0.019791,9.224213,2.809112
467,1,1,0.062152,N/A,16.055249,N/A
468,2,2,0.076272,0.001964,8.796195,2.032472
469,1,1,0.096738,N/A,9.083063,N/A
470,14,14,0.038231,0.020010,10.190017,4.521987
471,1,1,0.067398,N/A,9.743822,N/A
472,0,0,N/A,N/A,N/A,N/A
473,3,3,0.083365,0.008615,9.749037,7.190446
474,0,0,N/A,N/A,N/A,N/A
475,6,6,0.079509,0.016694,13.197435,5.246438
476,0,0,N/A,N/A,N/A,N/A
477,0,0,N/A,N/A,N/A,N/A
478,10,10,0.067265,0.020692,10.574116,4.007364
479,29,29,0.056655,0.022876,8.724106,3.431168
480,8,8,0.085176,0.012437,7.700740,5.104386
481,24,24,0.070741,0.022885,7.728260,4.061517
482,14,14,0.074317,0.017983,6.932603,3.622274
483,44,44,0.060377,0.023524,9.344538,4.284245
484,6,6,0.058847,0.025198,10.102357,3.104016
485,54,54,0.055438,0.025814,10.022404,5.364663
486,7,7,0.071194,0.023052,12.455537,6.348634
487,18,18,0.070497,0.017295,9.888171,3.603937
488,1,1,0.084353,N/A,14.070611,N/A
489,22,22,0.070038,0.019627,8.996080,4.957175
490,1,1,0.078902,N/A,8.273468,N/A
491,10,10,0.055449,0.020503,10.427310,4.309978
492,1,1,0.072480,N/A,9.142041,N/A
493,29,29,0.058478,0.023835,10.834453,4.234803
494,6,6,0.059430,0.027588,11.908105,4.454983
495,18,18,0.055401,0.024123,9.158679,2.254687
496,3,3,0.074009,0.024362,7.161261,4.784174
497,8,8,0.050710,0.023465,12.748896,3.718647
498,22,22,0.047680,0.024816,10.165063,4.950492
499,14,14,0.075253,0.017163,8.932088,3.804701
500,12,12,0.043082,0.020175,9.679107,4.603073
501,34,34,0.044784,0.025727,9.142001,4.413745
502,36,36,0.049753,0.029810,9.919586,3.739819
503,73,73,0.062210,0.024777,11.066155,4.865025
504,48,48,0.064854,0.018128,8.889446,4.901419
505,48,48,0.056024,0.025369,10.134638,4.720565
506,22,22,0.058586,0.026992,10.980497,5.067765
507,17,17,0.058304,0.023325,9.595589,2.797294
508,42,42,0.065763,0.022428,10.411992,3.733603
509,42,42,0.051727,0.025254,10.906726,4.457180
510,0,0,N/A,N/A,N/A,N/A
511,0,0,N/A,N/A,N/A,N/A
512,1,1,0.088187,N/A,17.237825,N/A
513,1,1,0.038298,N/A,9.280576,N/A
514,15,15,0.060338,0.023119,9.068681,3.995443
515,7,7,0.072249,0.019813,12.217600,4.644626
516,0,0,N/A,N/A,N/A,N/A
517,10,10,0.061922,0.027635,7.261164,3.615060
518,6,6,0.072492,0.015676,7.515988,1.119245
519,10,10,0.073275,0.020140,9.549851,6.515757
520,1,1,0.084516,N/A,4.858750,N/A
521,12,12,0.062878,0.019591,7.917975,4.508854
522,42,42,0.067199,0.025353,9.309494,5.194408
523,29,29,0.057325,0.024078,9.648457,5.095958
524,33,33,0.064809,0.021664,10.888912,4.711405
525,5,5,0.077815,0.016446,4.535037,3.152414
526,5,5,0.087676,0.008787,10.046324,6.923637
527,22,22,0.057654,0.023058,10.115487,3.639986
528,18,18,0.068954,0.024788,11.751063,5.372535
529,10,10,0.075984,0.009969,10.828884,5.610065
